model,seed,attack,objective_mode,target_class,attack_roi,attack_run,baseline_run,validation_status,baseline_mAP50,attack_mAP50,mAP50_drop,mAP50_effectiveness,baseline_avg_conf,attack_avg_conf,avg_conf_drop,avg_conf_effectiveness,baseline_total_detections,attack_total_detections,detection_drop,defense,defended_run,defended_mAP50,mAP50_recovery_normalized,defended_avg_conf,avg_conf_recovery_normalized,defended_total_detections,detection_recovery_normalized,bootstrap_det_drop_lower,bootstrap_det_drop_upper,bootstrap_det_drop_ci_computed,bootstrap_conf_drop_lower,bootstrap_conf_drop_upper,bootstrap_conf_drop_ci_computed
yolo,42,square,,,,attack_square,baseline_none,missing,,,,,0.762253,0.743262,0.018991,0.024914,100,91,0.090000,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,bit_depth,consistency_deepfool_bit_depth,,,0.721089,-0.162693,41,0.243590,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,c_dog,consistency_deepfool_c_dog,,,0.763708,1.041103,14,-0.102564,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,jpeg_preprocess,consistency_deepfool_jpeg_preprocess,,,0.789529,1.770421,26,0.051282,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,median_preprocess,consistency_deepfool_median_preprocess,,,0.744974,0.511939,22,0.000000,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,bit_depth,defended_deepfool_bit_depth,,,0.723496,-0.094699,24,0.025641,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,c_dog,defended_deepfool_c_dog,,,0.760879,0.961204,10,-0.153846,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,jpeg_preprocess,defended_deepfool_jpeg_preprocess,,,0.825638,2.790323,16,-0.076923,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,median_preprocess,defended_deepfool_median_preprocess,,,0.779071,1.475028,13,-0.115385,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,bit_depth,tune_def_bit_depth_001,,,0.770544,1.234191,9,-0.166667,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,bit_depth,tune_def_bit_depth_002,,,0.820783,2.653201,6,-0.205128,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,bit_depth,tune_def_bit_depth_003,,,0.811918,2.402802,7,-0.192308,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,consistency_atk_deepfool,baseline_none,missing,,,,,0.762253,0.731537,0.030716,0.040296,100,38,0.620000,bit_depth,tune_def_bit_depth_004,,,0.754611,0.784155,7,-0.192308,,,false,,,false
