run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,pipeline_profile,authoritative_metric,profile_compatibility_status,objective_mode,target_class,attack_roi,attack_artifact,placement_mode,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
tune_atk_deepfool_best,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_deepfool_best,yolo,deepfool,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,8,0.760546013712883,missing,,,,
tune_atk_eot_pgd_001,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_eot_pgd_001,yolo,eot_pgd,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,8,0.7918898165225983,missing,,,,
tune_atk_eot_pgd_002,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_eot_pgd_002,yolo,eot_pgd,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,7,8,0.8398952409625053,missing,,,,
tune_atk_eot_pgd_003,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_eot_pgd_003,yolo,eot_pgd,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,9,0.8034628364774916,missing,,,,
tune_atk_eot_pgd_004,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_eot_pgd_004,yolo,eot_pgd,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,7,0.813683841909681,missing,,,,
tune_atk_eot_pgd_005,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_eot_pgd_005,yolo,eot_pgd,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,8,10,0.7463441789150238,missing,,,,
tune_atk_eot_pgd_006,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_eot_pgd_006,yolo,eot_pgd,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,7,8,0.7837445959448814,missing,,,,
tune_atk_eot_pgd_007,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_atk_eot_pgd_007,yolo,eot_pgd,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,7,0.8076360310826983,missing,,,,
tune_def_bit_depth_001,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_bit_depth_001,yolo,deepfool,bit_depth,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,7,9,0.7705442772971259,missing,,,,
tune_def_bit_depth_002,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_bit_depth_002,yolo,deepfool,bit_depth,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,6,0.8207830588022867,missing,,,,
tune_def_bit_depth_003,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_bit_depth_003,yolo,deepfool,bit_depth,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,7,7,0.8119178925241742,missing,,,,
tune_def_bit_depth_004,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_bit_depth_004,yolo,deepfool,bit_depth,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,7,7,0.7546111685889108,missing,,,,
tune_def_bit_depth_005,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_bit_depth_005,yolo,deepfool,bit_depth,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,7,9,0.7705442772971259,missing,,,,
tune_def_c_dog_001,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_c_dog_001,yolo,deepfool,c_dog,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,3,3,0.9043642282485962,missing,,,,
tune_def_c_dog_002,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_c_dog_002,yolo,deepfool,c_dog,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,7,0.7226388198988778,missing,,,,
tune_def_c_dog_003,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_c_dog_003,yolo,deepfool,c_dog,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,5,5,0.7938549160957337,missing,,,,
tune_def_c_dog_004,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_c_dog_004,yolo,deepfool,c_dog,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,5,5,0.8348622679710388,missing,,,,
tune_def_jpeg_preprocess_001,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_jpeg_preprocess_001,yolo,deepfool,jpeg_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,7,8,0.7537434175610542,missing,,,,
tune_def_jpeg_preprocess_002,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_jpeg_preprocess_002,yolo,deepfool,jpeg_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,5,5,0.8681656837463378,missing,,,,
tune_def_jpeg_preprocess_003,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_jpeg_preprocess_003,yolo,deepfool,jpeg_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,7,7,0.8205264210700989,missing,,,,
tune_def_jpeg_preprocess_004,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_jpeg_preprocess_004,yolo,deepfool,jpeg_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,5,6,0.7915200193723043,missing,,,,
tune_def_jpeg_preprocess_005,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_jpeg_preprocess_005,yolo,deepfool,jpeg_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,7,8,0.7537434175610542,missing,,,,
tune_def_median_preprocess_001,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_median_preprocess_001,yolo,deepfool,median_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,4,4,0.8618733137845993,missing,,,,
tune_def_median_preprocess_002,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_median_preprocess_002,yolo,deepfool,median_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,4,4,0.868216335773468,missing,,,,
tune_def_median_preprocess_003,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/tune_def_median_preprocess_003,yolo,deepfool,median_preprocess,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,8,6,6,0.7685778935750326,missing,,,,
