run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
tune_atk_dispersion_reduction__epsilon0.075__steps20,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_dispersion_reduction__epsilon0.075__steps20,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,12,11,24,0.7634220694502195,missing,,,,
tune_atk_dispersion_reduction__epsilon0.15__steps20,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_dispersion_reduction__epsilon0.15__steps20,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,12,8,12,0.7351431200901667,missing,,,,
tune_atk_dispersion_reduction__epsilon0.15__steps40,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_dispersion_reduction__epsilon0.15__steps40,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,12,7,12,0.7697429160277048,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.01__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_dispersion_reduction_scan__epsilon0.01__steps50,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,12,12,39,0.7784945598015418,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.05__steps100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_dispersion_reduction_scan__epsilon0.05__steps100,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,12,10,24,0.7942878703276316,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.05__steps20,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_dispersion_reduction_scan__epsilon0.05__steps20,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,12,10,25,0.7779727005958557,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.05__steps60,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_dispersion_reduction_scan__epsilon0.05__steps60,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,12,11,24,0.7913161019484202,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.08__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_dispersion_reduction_scan__epsilon0.08__steps50,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,12,10,24,0.7588403522968292,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.15__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_dispersion_reduction_scan__epsilon0.15__steps50,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,12,8,14,0.7523522504738399,missing,,,,
tune_atk_square__eps0.15__n_queries450,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square__eps0.15__n_queries450,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,7,16,0.7627320922911167,missing,,,,
tune_atk_square__eps0.15__n_queries500,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square__eps0.15__n_queries500,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,7,15,0.7462719639142354,missing,,,,
tune_atk_square__eps0.3__n_queries425,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_square__eps0.3__n_queries425,yolo,square,none,42,attack_then_defense,tune,tune,diagnostic,phase3,,,,8,6,9,0.760688496960534,missing,,,,
